Date,AMZN
1/3/2013,258.480011
1/4/2013,259.149994
1/7/2013,268.459991
1/8/2013,266.380005
1/9/2013,266.350006
1/10/2013,265.339996
1/11/2013,267.940002
1/14/2013,272.730011
1/15/2013,271.899994
1/16/2013,268.929993
1/17/2013,270.480011
1/18/2013,272.119995
1/22/2013,270.190002
1/23/2013,268.109985
1/24/2013,273.459991
1/25/2013,283.98999
1/28/2013,276.040009
1/29/2013,260.350006
1/30/2013,272.76001
1/31/2013,265.5
2/1/2013,265
2/4/2013,259.980011
2/5/2013,266.890015
2/6/2013,262.220001
2/7/2013,260.230011
2/8/2013,261.950012
2/11/2013,257.209991
2/12/2013,258.700012
2/13/2013,269.470001
2/14/2013,269.23999
2/15/2013,265.089996
2/19/2013,269.75
2/20/2013,266.410004
2/21/2013,265.940002
2/22/2013,265.420013
2/25/2013,259.869995
2/26/2013,259.359985
2/27/2013,263.25
2/28/2013,264.269989
3/1/2013,265.73999
3/4/2013,273.109985
3/5/2013,275.589996
3/6/2013,273.790009
3/7/2013,273.880005
3/8/2013,274.190002
3/11/2013,271.23999
3/12/2013,274.130005
3/13/2013,275.100006
3/14/2013,265.73999
3/15/2013,261.820007
3/18/2013,257.890015
3/19/2013,256.410004
3/20/2013,257.279999
3/21/2013,253.389999
3/22/2013,257.75
3/25/2013,256.019989
3/26/2013,260.309998
3/27/2013,265.299988
3/28/2013,266.48999
4/1/2013,261.609985
4/2/2013,263.320007
4/3/2013,259.029999
4/4/2013,259.079987
4/5/2013,255.479996
4/8/2013,258.950012
4/9/2013,261.140015
4/10/2013,264.769989
4/11/2013,269.850006
4/12/2013,272.869995
4/15/2013,267.720001
4/16/2013,272.339996
4/17/2013,267.399994
4/18/2013,259.420013
4/19/2013,260.320007
4/22/2013,263.549988
4/23/2013,268.899994
4/24/2013,268.779999
4/25/2013,274.700012
4/26/2013,254.809998
4/29/2013,249.740005
4/30/2013,253.809998
5/1/2013,248.229996
5/2/2013,252.550003
5/3/2013,258.049988
5/6/2013,255.720001
5/7/2013,257.730011
5/8/2013,258.679993
5/9/2013,260.160004
5/10/2013,263.630005
5/13/2013,264.51001
5/14/2013,268.329987
5/15/2013,266.559998
5/16/2013,264.119995
5/17/2013,269.899994
5/20/2013,267.630005
5/21/2013,268.859985
5/22/2013,262.959991
5/23/2013,261.799988
5/24/2013,261.73999
5/28/2013,267.290009
5/29/2013,265.529999
5/30/2013,266.829987
5/31/2013,269.200012
6/3/2013,266.880005
6/4/2013,265.700012
6/5/2013,267.170013
6/6/2013,267.829987
6/7/2013,276.869995
6/10/2013,281.070007
6/11/2013,274.779999
6/12/2013,271.670013
6/13/2013,275.790009
6/14/2013,273.98999
6/17/2013,278.059998
6/18/2013,281.76001
6/19/2013,278.160004
6/20/2013,273.440002
6/21/2013,273.359985
6/24/2013,270.609985
6/25/2013,272.089996
6/26/2013,277.570007
6/27/2013,277.549988
6/28/2013,277.690002
7/1/2013,282.100006
7/2/2013,283.730011
7/3/2013,284.029999
7/5/2013,285.880005
7/8/2013,290.589996
7/9/2013,291.529999
7/10/2013,292.329987
7/11/2013,299.660004
7/12/2013,307.549988
7/15/2013,306.570007
7/16/2013,306.869995
7/17/2013,308.690002
7/18/2013,304.109985
7/19/2013,305.230011
7/22/2013,303.480011
7/23/2013,301.059998
7/24/2013,298.940002
7/25/2013,303.399994
7/26/2013,312.01001
7/29/2013,306.100006
7/30/2013,302.410004
7/31/2013,301.220001
8/1/2013,305.570007
8/2/2013,304.209991
8/5/2013,300.98999
8/6/2013,300.75
8/7/2013,296.910004
8/8/2013,295.73999
8/9/2013,297.26001
8/12/2013,296.690002
8/13/2013,293.970001
8/14/2013,291.339996
8/15/2013,286.470001
8/16/2013,284.820007
8/19/2013,285.570007
8/20/2013,287.089996
8/21/2013,284.570007
8/22/2013,289.730011
8/23/2013,290.01001
8/26/2013,286.209991
8/27/2013,280.929993
8/28/2013,281.579987
8/29/2013,283.980011
8/30/2013,280.980011
9/3/2013,288.799988
9/4/2013,293.640015
9/5/2013,294.100006
9/6/2013,295.859985
9/9/2013,299.709991
9/10/2013,300.359985
9/11/2013,299.640015
9/12/2013,298.859985
9/13/2013,297.920013
9/16/2013,296.059998
9/17/2013,304.170013
9/18/2013,312.029999
9/19/2013,312.059998
9/20/2013,316.339996
9/23/2013,311.48999
9/24/2013,314.130005
9/25/2013,312.649994
9/26/2013,318.119995
9/27/2013,316.01001
9/30/2013,312.640015
10/1/2013,320.950012
10/2/2013,320.51001
10/3/2013,314.76001
10/4/2013,319.040009
10/7/2013,310.029999
10/8/2013,303.230011
10/9/2013,298.230011
10/10/2013,305.170013
10/11/2013,310.890015
10/14/2013,310.700012
10/15/2013,306.399994
10/16/2013,310.48999
10/17/2013,310.769989
10/18/2013,328.929993
10/21/2013,326.440002
10/22/2013,332.540009
10/23/2013,326.76001
10/24/2013,332.209991
10/25/2013,363.390015
10/28/2013,358.160004
10/29/2013,362.700012
10/30/2013,361.079987
10/31/2013,364.029999
11/1/2013,359
11/4/2013,358.73999
11/5/2013,358.890015
11/6/2013,356.179993
11/7/2013,343.559998
11/8/2013,350.309998
11/11/2013,354.380005
11/12/2013,349.529999
11/13/2013,356.220001
11/14/2013,367.399994
11/15/2013,369.170013
11/18/2013,366.179993
11/19/2013,364.940002
11/20/2013,362.570007
11/21/2013,368.920013
11/22/2013,372.309998
11/25/2013,376.640015
11/26/2013,381.369995
11/27/2013,386.709991
11/29/2013,393.619995
12/2/2013,392.299988
12/3/2013,384.660004
12/4/2013,385.959991
12/5/2013,384.48999
12/6/2013,386.950012
12/9/2013,384.890015
12/10/2013,387.779999
12/11/2013,382.190002
12/12/2013,381.25
12/13/2013,384.23999
12/16/2013,388.970001
12/17/2013,387.649994
12/18/2013,395.959991
12/19/2013,395.190002
12/20/2013,402.200012
12/23/2013,402.920013
12/24/2013,399.200012
12/26/2013,404.390015
12/27/2013,398.079987
12/30/2013,393.369995
12/31/2013,398.790009
1/2/2014,397.970001
1/3/2014,396.440002
1/6/2014,393.630005
